City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Amalapuram,IN,79.93,overcast clouds,16.5833,82.0167,swayamprabha service apartments
10,Rikitea,PF,79.07,clear sky,-23.1203,-134.9692,People ThankYou
11,Namatanai,PG,78.4,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
12,Castro,BR,77.41,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
16,Lorengau,PG,79.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
24,Kapaa,US,77.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
30,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
33,Saint George,US,80.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
38,Verrettes,HT,84.67,overcast clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
42,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
43,Hithadhoo,MV,83.53,broken clouds,-0.6,73.0833,Scoop Guest House
48,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
50,Mahibadhoo,MV,84.11,overcast clouds,3.7833,72.9667,Omadhoo Inn
51,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
54,Tevaitoa,PF,82.4,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
59,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Tutoia,BR,80.28,overcast clouds,-2.7619,-42.2744,Pousada Guará's
61,Kavaratti,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
67,Bengkulu,ID,77.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
75,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
76,Tres Arroyos,AR,78.42,few clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
79,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,Bosaso,SO,80.8,overcast clouds,11.2842,49.1816,Red Sea Hotel
81,Karratha,AU,81.84,clear sky,-20.7377,116.8463,ibis Styles Karratha
87,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
94,El Reno,US,76.05,clear sky,35.5323,-97.955,Home2 Suites by Hilton El Reno
95,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
96,Vila Do Maio,CV,81.39,few clouds,15.1333,-23.2167,Hotel Marilu
107,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Kudahuvadhoo,MV,84.51,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
119,Bontang,ID,77.02,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
120,Riyadh,SA,86.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
121,San Rafael,AR,84.18,clear sky,-34.6177,-68.3301,Hotel San Rafael
123,Butaritari,KI,80.1,moderate rain,3.0707,172.7902,Isles Sunset Lodge
128,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
129,Atuona,PF,79.54,few clouds,-9.8,-139.0333,Villa Enata
137,Sao Filipe,CV,75.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
138,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
140,Guarapari,BR,81.03,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
141,Chuy,UY,75.43,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
142,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
145,Meulaboh,ID,78.22,light rain,4.1363,96.1285,Kost Pria
146,Shush,IR,77.13,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
148,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
152,Arroio Grande,BR,79.43,broken clouds,-32.2375,-53.0869,Motel Bela Vista
154,Isangel,VU,80.24,few clouds,-19.55,169.2667,Tanna Lodge
155,Prescott,US,76.89,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
163,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
164,Sao Joao Da Barra,BR,89.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
181,Kalianget,ID,80.17,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
184,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
185,Sarangani,PH,82.38,overcast clouds,5.4033,125.4636,Ballistic Islet
187,Presidencia Roque Saenz Pena,AR,78.87,overcast clouds,-26.7852,-60.4388,Hotel Gualok
191,Cururupu,BR,77.14,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
194,Guiratinga,BR,79.09,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
