City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,2022-04-09 18:33:18,62.456,-114.3525,25.41,68,20,20.71,few clouds
1,Willmar,US,2022-04-09 18:31:55,45.1219,-95.0433,50.02,44,0,5.75,clear sky
2,Ushuaia,AR,2022-04-09 18:33:19,-54.8,-68.3,51.42,57,20,0.0,few clouds
3,Amalapuram,IN,2022-04-09 18:33:20,16.5833,82.0167,79.93,85,87,3.02,overcast clouds
4,Mataura,NZ,2022-04-09 18:33:20,-46.1927,168.8643,42.44,98,69,2.53,broken clouds
5,Hobart,AU,2022-04-09 18:28:29,-42.8794,147.3294,63.27,82,14,9.22,few clouds
6,Albany,US,2022-04-09 18:33:21,42.6001,-73.9662,46.81,80,100,3.0,overcast clouds
7,Ornskoldsvik,SE,2022-04-09 18:33:22,63.2909,18.7153,31.15,100,94,6.91,overcast clouds
8,Saskylakh,RU,2022-04-09 18:33:23,71.9167,114.0833,-16.87,98,26,1.97,scattered clouds
9,Virden,US,2022-04-09 18:30:48,39.5009,-89.7679,53.67,47,6,13.15,clear sky
10,Rikitea,PF,2022-04-09 18:33:24,-23.1203,-134.9692,79.07,73,6,18.34,clear sky
11,Namatanai,PG,2022-04-09 18:33:24,-3.6667,152.4333,78.4,80,100,2.19,overcast clouds
12,Castro,BR,2022-04-09 18:33:25,-24.7911,-50.0119,77.41,61,82,6.38,broken clouds
13,Codrington,AU,2022-04-09 18:33:25,-38.2667,141.9667,63.25,76,100,12.46,overcast clouds
14,Pushkinskiye Gory,RU,2022-04-09 18:33:25,57.0209,28.9103,37.49,89,96,6.73,overcast clouds
15,Severo-Yeniseyskiy,RU,2022-04-09 18:33:26,60.3725,93.0408,17.76,96,97,1.21,overcast clouds
16,Lorengau,PG,2022-04-09 18:33:26,-2.0226,147.2712,79.92,82,100,6.13,overcast clouds
17,Bredasdorp,ZA,2022-04-09 18:33:27,-34.5322,20.0403,61.93,84,21,18.72,few clouds
18,Hilo,US,2022-04-09 18:33:27,19.7297,-155.09,74.25,84,75,3.0,broken clouds
19,Punta Arenas,CL,2022-04-09 18:33:28,-53.15,-70.9167,51.91,66,75,10.36,broken clouds
20,Tuktoyaktuk,CA,2022-04-09 18:33:28,69.4541,-133.0374,5.0,85,100,25.32,light snow
21,Port Alfred,ZA,2022-04-09 18:33:29,-33.5906,26.891,61.18,94,100,1.99,overcast clouds
22,Fortuna,US,2022-04-09 18:33:17,40.5982,-124.1573,54.93,59,0,24.16,clear sky
23,Airai,TL,2022-04-09 18:33:30,-8.9266,125.4092,58.96,68,100,2.04,overcast clouds
24,Kapaa,US,2022-04-09 18:33:31,22.0752,-159.319,77.18,80,100,11.5,overcast clouds
25,Cape Town,ZA,2022-04-09 18:32:35,-33.9258,18.4232,67.26,66,0,16.11,clear sky
26,Vaini,TO,2022-04-09 18:33:31,-21.2,-175.2,77.16,88,75,10.36,broken clouds
27,Tarquinia,IT,2022-04-09 18:33:32,42.2482,11.7553,53.58,86,0,7.83,clear sky
28,Arraial Do Cabo,BR,2022-04-09 18:33:33,-22.9661,-42.0278,84.16,78,0,12.66,clear sky
29,Alta Floresta,BR,2022-04-09 18:33:34,-9.8756,-56.0861,93.02,55,40,3.44,scattered clouds
30,Port Blair,IN,2022-04-09 18:33:34,11.6667,92.75,78.84,89,20,3.44,mist
31,Rincon,US,2022-04-09 18:33:23,32.296,-81.2354,57.16,40,100,21.85,overcast clouds
32,Dikson,RU,2022-04-09 18:33:36,73.5069,80.5464,2.88,98,96,3.71,overcast clouds
33,Saint George,US,2022-04-09 18:32:32,37.1041,-113.5841,80.64,13,0,3.44,clear sky
34,Palmer,US,2022-04-09 18:33:37,42.1584,-72.3287,52.65,72,100,16.11,overcast clouds
35,Tiznit,MA,2022-04-09 18:33:39,29.5833,-9.5,73.58,30,0,3.91,clear sky
36,Katsuura,JP,2022-04-09 18:33:41,35.1333,140.3,59.97,85,0,11.52,clear sky
37,Khatanga,RU,2022-04-09 18:33:43,71.9667,102.5,-5.24,100,87,4.81,overcast clouds
38,Verrettes,HT,2022-04-09 18:33:45,19.05,-72.4667,84.67,59,100,8.52,overcast clouds
